seed,radius,duration,noa,amplitude,F1_score,roc_auc
1,2,10,450,0.25,0.6324793759877053,0.8234763942462172
2,2,10,450,0.25,0.6265265221967502,0.8131423775004445
3,2,10,450,0.25,0.640323418352307,0.826686972200315
4,2,10,450,0.25,0.6526861929537253,0.8218547505115854
5,2,10,450,0.25,0.648449017885065,0.8315754633463229
6,2,10,450,0.25,0.655686617154507,0.838028298707499
7,2,10,450,0.25,0.6657212027447104,0.836616585301952
8,2,10,450,0.25,0.6200933771398928,0.8106653536002659
9,2,10,450,0.25,0.6431655079614264,0.8294392539224359
10,2,10,450,0.25,0.6591822756916114,0.8304710503691952
11,2,10,450,0.25,0.6329670987635841,0.8238519694554304
12,2,10,450,0.25,0.6420573326842121,0.8191645971081092
13,2,10,450,0.25,0.6566817263971411,0.8374754725198746
14,2,10,450,0.25,0.642417735476757,0.8265921294190064
15,2,10,450,0.25,0.6677253107360944,0.8328891322507874
16,2,10,450,0.25,0.6551621363853124,0.8362886401382297
17,2,10,450,0.25,0.6418627536106046,0.8214098037675927
18,2,10,450,0.25,0.6571899107220248,0.831156006592431
19,2,10,450,0.25,0.6628659520935442,0.8275431402621738
20,2,10,450,0.25,0.6254864093621192,0.8226961534285142
21,2,10,450,0.25,0.6697020227651708,0.8460691865604557
22,2,10,450,0.25,0.6446945802829943,0.7978524346412701
23,2,10,450,0.25,0.6562645416472778,0.8279535669835033
24,2,10,450,0.25,0.6426140624098748,0.8048894505483744
25,2,10,450,0.25,0.6423621659939528,0.8274567843878334
26,2,10,450,0.25,0.6620733578438468,0.8223152090230368
27,2,10,450,0.25,0.6578155732963091,0.841593798368176
28,2,10,450,0.25,0.659368066934443,0.8389786024919064
29,2,10,450,0.25,0.6198267844687282,0.8099027107937637
30,2,10,450,0.25,0.6388306562378012,0.8134190100038141
31,2,10,450,0.25,0.6535795438202894,0.8394692146938101
32,2,10,450,0.25,0.6565190159206444,0.8443330474698926
33,2,10,450,0.25,0.661168138419472,0.8480501215387642
34,2,10,450,0.25,0.661782838906216,0.8419483643485917
35,2,10,450,0.25,0.6723068899576983,0.8495246433662538
36,2,10,450,0.25,0.6743025375017524,0.8467534943436801
37,2,10,450,0.25,0.6677993175052639,0.8409077354471052
38,2,10,450,0.25,0.6679034712660338,0.8538183271029316
39,2,10,450,0.25,0.6690639170493603,0.8424502701130514
40,2,10,450,0.25,0.6576073114090943,0.8393551950327658
41,2,10,450,0.25,0.6492916217188062,0.8309766187918955
42,2,10,450,0.25,0.651957521919037,0.8343927700280377
43,2,10,450,0.25,0.6563841628239784,0.8414953451531131
44,2,10,450,0.25,0.6368635437881873,0.8124345125991738
45,2,10,450,0.25,0.6527087149960743,0.8403966827886574
46,2,10,450,0.25,0.6710423594043661,0.8515342002980613
47,2,10,450,0.25,0.6686278507558325,0.8470247942189014
48,2,10,450,0.25,0.621760912127145,0.8065102972930204
49,2,10,450,0.25,0.6472064648105967,0.8213686715877766
50,2,10,450,0.25,0.652388512050801,0.8346041248131879
1,2,10,450,0.5,0.7152363968509416,0.8482521724855691
2,2,10,450,0.5,0.7568666464812492,0.8829840443114286
3,2,10,450,0.5,0.7324639593481099,0.881474547428069
4,2,10,450,0.5,0.727264822248953,0.8639377590529984
5,2,10,450,0.5,0.7353874104629864,0.8926665124198059
6,2,10,450,0.5,0.7425076452599388,0.8910610400859953
7,2,10,450,0.5,0.7249129743435472,0.8828164943803973
8,2,10,450,0.5,0.7088593002478529,0.8603698197415379
9,2,10,450,0.5,0.7364880017941242,0.8873343004481834
10,2,10,450,0.5,0.7235639200738513,0.8594956039440086
11,2,10,450,0.5,0.7551118163039248,0.8772752950323639
12,2,10,450,0.5,0.7334688851341676,0.8737589380771249
13,2,10,450,0.5,0.7315833054897802,0.8750723029648761
14,2,10,450,0.5,0.7317044861006325,0.8545049230547768
15,2,10,450,0.5,0.7409449841925192,0.8962775654850993
16,2,10,450,0.5,0.7309847401049118,0.8559251335824707
17,2,10,450,0.5,0.7169401753928974,0.8716088452443126
18,2,10,450,0.5,0.7308370171332813,0.88213395498556
19,2,10,450,0.5,0.7394522898820518,0.8648798687077315
20,2,10,450,0.5,0.7454529732222639,0.8943408069261455
21,2,10,450,0.5,0.7537156528673965,0.8977555860443617
22,2,10,450,0.5,0.7234584334037443,0.8508105838351996
23,2,10,450,0.5,0.7481386691484412,0.881501980651523
24,2,10,450,0.5,0.7529272653861683,0.8857379071351669
25,2,10,450,0.5,0.726241627244188,0.8799324005081337
26,2,10,450,0.5,0.7413079350374895,0.8927069472926681
27,2,10,450,0.5,0.7465000578502835,0.8939168896125878
28,2,10,450,0.5,0.734248800081203,0.8783139762007763
29,2,10,450,0.5,0.7204138572425017,0.854613893660368
30,2,10,450,0.5,0.7264446918328105,0.8560673508599828
31,2,10,450,0.5,0.7517761095291512,0.8961663749733918
32,2,10,450,0.5,0.7346510713297306,0.8855017065103954
33,2,10,450,0.5,0.7540753358136477,0.9028433505123388
34,2,10,450,0.5,0.7344019728729964,0.8849008854130814
35,2,10,450,0.5,0.7353537694848468,0.8623689371605676
36,2,10,450,0.5,0.7524744146922754,0.8746362241446487
37,2,10,450,0.5,0.7529804690336165,0.8895448641284185
38,2,10,450,0.5,0.7763171244293064,0.9072972874226966
39,2,10,450,0.5,0.7511191982208358,0.8748279149846363
40,2,10,450,0.5,0.7469922840662222,0.899827080533035
41,2,10,450,0.5,0.7185616684645811,0.8799053495409438
42,2,10,450,0.5,0.7387945253045516,0.8904717186761361
43,2,10,450,0.5,0.7200740108992614,0.8688314769895045
44,2,10,450,0.5,0.7367180680826302,0.8802592008136403
45,2,10,450,0.5,0.7586437523626741,0.8850622183530771
46,2,10,450,0.5,0.7652450484314008,0.8836261389142455
47,2,10,450,0.5,0.7124341013019544,0.8543984674600708
48,2,10,450,0.5,0.7324081538638719,0.8676263242426252
49,2,10,450,0.5,0.7340809842296923,0.867109311748797
50,2,10,450,0.5,0.7439745995093087,0.8849811185230225
1,2,10,450,1.0,0.8016180244443478,0.9094434103617636
2,2,10,450,1.0,0.8172498810502185,0.922254713384149
3,2,10,450,1.0,0.8109322140962113,0.9202039094182658
4,2,10,450,1.0,0.8054955725279344,0.9200253990017516
5,2,10,450,1.0,0.8204792184777591,0.9267376327990176
6,2,10,450,1.0,0.8038153487694772,0.9230182294280274
7,2,10,450,1.0,0.8109501912415661,0.909896204102158
8,2,10,450,1.0,0.7884604299959652,0.906379487541347
9,2,10,450,1.0,0.8077764072662031,0.914521935622926
10,2,10,450,1.0,0.8284744349483338,0.9341186434817048
11,2,10,450,1.0,0.8288177708589048,0.9279877099569904
12,2,10,450,1.0,0.8186087803201695,0.9244488844416262
13,2,10,450,1.0,0.8116855760710083,0.9286272978907864
14,2,10,450,1.0,0.8200336602634786,0.9263678489133164
15,2,10,450,1.0,0.8248184666021856,0.9307226932135154
16,2,10,450,1.0,0.8212625178826896,0.9223037393810106
17,2,10,450,1.0,0.8123064455442679,0.9090093650279492
18,2,10,450,1.0,0.7980121926555142,0.906017695636366
19,2,10,450,1.0,0.8102502945069009,0.9188078262054604
20,2,10,450,1.0,0.8204248695702303,0.9289539670653312
21,2,10,450,1.0,0.8137751033132749,0.9170716679443476
22,2,10,450,1.0,0.8078648109030933,0.905315983594639
23,2,10,450,1.0,0.8166589111214518,0.921260904444421
24,2,10,450,1.0,0.8214800715233316,0.925872509554492
25,2,10,450,1.0,0.8044789722668287,0.9181484089126428
26,2,10,450,1.0,0.8039544915033436,0.921230954206684
27,2,10,450,1.0,0.8303540437348143,0.9328031968227288
28,2,10,450,1.0,0.8207589577019562,0.9209832733704234
29,2,10,450,1.0,0.8208846779818647,0.9217017214764992
30,2,10,450,1.0,0.7947431578642995,0.8990392615332965
31,2,10,450,1.0,0.8327149308252079,0.9324853631266274
32,2,10,450,1.0,0.8134822950198826,0.9222164563710824
33,2,10,450,1.0,0.8266320020320648,0.9295176700651868
34,2,10,450,1.0,0.8116341481105389,0.926380220839223
35,2,10,450,1.0,0.8342991249927566,0.9262002913417706
36,2,10,450,1.0,0.8114117482125333,0.912053602264774
37,2,10,450,1.0,0.8168445509329848,0.9297085741175304
38,2,10,450,1.0,0.8394811218204218,0.942448259761269
39,2,10,450,1.0,0.8202928689021749,0.921609427274128
40,2,10,450,1.0,0.8343396509101806,0.9411524328792676
41,2,10,450,1.0,0.8126285508809781,0.925875966496148
42,2,10,450,1.0,0.8014699499406811,0.9187643040323998
43,2,10,450,1.0,0.8192948727214906,0.9204634695384424
44,2,10,450,1.0,0.818824556299098,0.9322551082502047
45,2,10,450,1.0,0.8277065340661258,0.9393760481601898
46,2,10,450,1.0,0.8404799768685847,0.9380282448666708
47,2,10,450,1.0,0.8174642472257012,0.921496735261668
48,2,10,450,1.0,0.7943683058850628,0.9050914280798604
49,2,10,450,1.0,0.8074919842732166,0.9074832008143086
50,2,10,450,1.0,0.8098715543368451,0.9240270610243846
1,2,10,450,1.5,0.8315137807547881,0.9357401253140792
2,2,10,450,1.5,0.8495753853252015,0.9448256556268656
3,2,10,450,1.5,0.83763107286739,0.9391927092598548
4,2,10,450,1.5,0.8350893465312097,0.9390021848924064
5,2,10,450,1.5,0.8602403538294292,0.950770162447464
6,2,10,450,1.5,0.8273773117809815,0.9332228064467974
7,2,10,450,1.5,0.838597848353317,0.9271461727102914
8,2,10,450,1.5,0.8182027782581128,0.9218410007663524
9,2,10,450,1.5,0.8448643193541153,0.9436456219320882
10,2,10,450,1.5,0.8523569875822637,0.9464124070951064
11,2,10,450,1.5,0.8631560039517409,0.9522356166212976
12,2,10,450,1.5,0.8457000486840974,0.9351942843073798
13,2,10,450,1.5,0.8356261894039543,0.9372931258112436
14,2,10,450,1.5,0.8469038361093378,0.9411377986441642
15,2,10,450,1.5,0.8523335883703137,0.9505273583645434
16,2,10,450,1.5,0.8521697663328565,0.938603187609506
17,2,10,450,1.5,0.8383259529391335,0.9263974836846584
18,2,10,450,1.5,0.824911155413019,0.9283929000749432
19,2,10,450,1.5,0.8355560726595791,0.932742517341128
20,2,10,450,1.5,0.8482691032773182,0.9468705423143756
21,2,10,450,1.5,0.8518233886754151,0.9441342188916008
22,2,10,450,1.5,0.8338493590671027,0.9204201226595016
23,2,10,450,1.5,0.8454222894369474,0.929062571619167
24,2,10,450,1.5,0.8444367537636269,0.9366350863196252
25,2,10,450,1.5,0.8310981872893248,0.9331916349008076
26,2,10,450,1.5,0.8408071099788669,0.9392829121684986
27,2,10,450,1.5,0.8600890894365383,0.949357902324007
28,2,10,450,1.5,0.8409146933863086,0.9349657832465736
29,2,10,450,1.5,0.8529121134619856,0.9454429481609656
30,2,10,450,1.5,0.8304249136148741,0.9274843728803216
31,2,10,450,1.5,0.8617367043460753,0.9487353508526564
32,2,10,450,1.5,0.8398176336066887,0.9443110116275628
33,2,10,450,1.5,0.8639861341461592,0.9511069980622608
34,2,10,450,1.5,0.8439834626822369,0.941815316709722
35,2,10,450,1.5,0.8538564060960769,0.9453819654220792
36,2,10,450,1.5,0.8485910556568064,0.9414001570810588
37,2,10,450,1.5,0.8469033616496043,0.941864988916468
38,2,10,450,1.5,0.8667004855424306,0.9547010951455788
39,2,10,450,1.5,0.8552696184617162,0.945504457756639
40,2,10,450,1.5,0.8654431043523859,0.9557098060314542
41,2,10,450,1.5,0.8377705861201007,0.9381207900472376
42,2,10,450,1.5,0.831418733180937,0.938287585583006
43,2,10,450,1.5,0.8434062359964729,0.936038965238538
44,2,10,450,1.5,0.8451556590049462,0.9422171554987894
45,2,10,450,1.5,0.8555933583413301,0.9494646715620798
46,2,10,450,1.5,0.8650860199508458,0.9524263817887864
47,2,10,450,1.5,0.8393382460023884,0.9330380834029732
48,2,10,450,1.5,0.8281124035471611,0.9263901992356064
49,2,10,450,1.5,0.8323588724302523,0.929985723180865
50,2,10,450,1.5,0.8381873286188484,0.9362152770352086
1,2,10,450,2.0,0.8403578211764023,0.9401232719917754
2,2,10,450,2.0,0.8586588231901611,0.9462895494753318
3,2,10,450,2.0,0.8533808728365081,0.9447918976020176
4,2,10,450,2.0,0.8472920682308952,0.940946134931598
5,2,10,450,2.0,0.8704263525487335,0.9542016251385812
6,2,10,450,2.0,0.8507062763943498,0.9432188848147888
7,2,10,450,2.0,0.85335281562021,0.9341882589682836
8,2,10,450,2.0,0.8325263703959882,0.9298261831900876
9,2,10,450,2.0,0.8592453464902444,0.9500676155686276
10,2,10,450,2.0,0.8705518001250707,0.952197048125304
11,2,10,450,2.0,0.876238661198096,0.9561471365867332
12,2,10,450,2.0,0.8564391878347032,0.9437536662960038
13,2,10,450,2.0,0.8541336781091564,0.9474076255471916
14,2,10,450,2.0,0.8643433346874818,0.9478950327400668
15,2,10,450,2.0,0.8690216685192937,0.956858576875668
16,2,10,450,2.0,0.8667143538388173,0.9480591794488904
17,2,10,450,2.0,0.8517843188330294,0.9355245396018091
18,2,10,450,2.0,0.8392707520730404,0.9353993172381274
19,2,10,450,2.0,0.8500996233220378,0.9390298403018962
20,2,10,450,2.0,0.867494883694117,0.9538041079744638
21,2,10,450,2.0,0.8600014500108751,0.9466070516700438
22,2,10,450,2.0,0.8481437541595532,0.9291581391245692
23,2,10,450,2.0,0.8591786877617497,0.9395242626689756
24,2,10,450,2.0,0.8516179269769857,0.9397922539387332
25,2,10,450,2.0,0.8488057520651592,0.9430557426512172
26,2,10,450,2.0,0.8459601076918624,0.9391334468722036
27,2,10,450,2.0,0.8730475529330094,0.9538742118102976
28,2,10,450,2.0,0.855328219480011,0.941343959832858
29,2,10,450,2.0,0.870088351546152,0.9541730885534674
30,2,10,450,2.0,0.8439284629953591,0.9339633072352974
31,2,10,450,2.0,0.8735582592688469,0.9533670475783144
32,2,10,450,2.0,0.8561898241883094,0.9518864443191069
33,2,10,450,2.0,0.874265991303958,0.9544351279582156
34,2,10,450,2.0,0.8513527235801842,0.9454085290353416
35,2,10,450,2.0,0.8710957872167816,0.950726412200865
36,2,10,450,2.0,0.8647133043600168,0.948973735794508
37,2,10,450,2.0,0.8596239018369273,0.9502641449488144
38,2,10,450,2.0,0.8747300529023843,0.959284876902046
39,2,10,450,2.0,0.8681223464171216,0.9495672411405895
40,2,10,450,2.0,0.878088246310585,0.9609701644571818
41,2,10,450,2.0,0.8542250988852931,0.9450926048331628
42,2,10,450,2.0,0.8461471686102029,0.945152184540728
43,2,10,450,2.0,0.8550282600211047,0.9402369924880264
44,2,10,450,2.0,0.8631364562118127,0.9510370793946992
45,2,10,450,2.0,0.8705399982552561,0.9566345664011048
46,2,10,450,2.0,0.8750325285528409,0.9575439562018864
47,2,10,450,2.0,0.8498820376896863,0.9409188025335312
48,2,10,450,2.0,0.8422492226189106,0.9355094633258636
49,2,10,450,2.0,0.8480856558387859,0.9383200137116128
50,2,10,450,2.0,0.8508009813825949,0.9428977792392736
